0.10,0.00,0.577
0.10,0.05,0.756
0.10,0.10,0.761
0.10,0.15,0.769
0.10,0.20,0.793
0.10,0.25,0.789
0.10,0.30,0.770
0.10,0.35,0.767
0.10,0.40,0.764
0.10,0.45,0.772
0.10,0.50,0.746
0.10,0.55,0.746
0.10,0.60,0.700
0.10,0.65,0.695
0.10,0.70,0.742
0.10,0.75,0.742
0.10,0.80,0.763
0.10,0.85,0.763
0.10,0.90,0.687
0.10,0.95,0.697
0.20,0.00,0.577
0.20,0.05,0.756
0.20,0.10,0.761
0.20,0.15,0.767
0.20,0.20,0.792
0.20,0.25,0.790
0.20,0.30,0.773
0.20,0.35,0.769
0.20,0.40,0.764
0.20,0.45,0.773
0.20,0.50,0.746
0.20,0.55,0.743
0.20,0.60,0.707
0.20,0.65,0.713
0.20,0.70,0.780
0.20,0.75,0.780
0.20,0.80,0.780
0.20,0.85,0.778
0.20,0.90,0.778
0.20,0.95,0.778
0.30,0.00,0.577
0.30,0.05,0.754
0.30,0.10,0.768
0.30,0.15,0.774
0.30,0.20,0.782
0.30,0.25,0.777
0.30,0.30,0.762
0.30,0.35,0.759
0.30,0.40,0.760
0.30,0.45,0.762
0.30,0.50,0.770
0.30,0.55,0.785
0.30,0.60,0.785
0.30,0.65,0.785
0.30,0.70,0.785
0.30,0.75,0.785
0.30,0.80,0.785
0.30,0.85,0.785
0.30,0.90,0.785
0.30,0.95,0.785
0.40,0.00,0.578
0.40,0.05,0.759
0.40,0.10,0.780
0.40,0.15,0.770
0.40,0.20,0.779
0.40,0.25,0.779
0.40,0.30,0.779
0.40,0.35,0.780
0.40,0.40,0.781
0.40,0.45,0.781
0.40,0.50,0.781
0.40,0.55,0.781
0.40,0.60,0.781
0.40,0.65,0.781
0.40,0.70,0.781
0.40,0.75,0.781
0.40,0.80,0.781
0.40,0.85,0.781
0.40,0.90,0.781
0.40,0.95,0.781
0.50,0.00,0.585
0.50,0.05,0.783
0.50,0.10,0.791
0.50,0.15,0.786
0.50,0.20,0.786
0.50,0.25,0.786
0.50,0.30,0.786
0.50,0.35,0.786
0.50,0.40,0.786
0.50,0.45,0.786
0.50,0.50,0.786
0.50,0.55,0.786
0.50,0.60,0.786
0.50,0.65,0.786
0.50,0.70,0.786
0.50,0.75,0.786
0.50,0.80,0.786
0.50,0.85,0.786
0.50,0.90,0.786
0.50,0.95,0.786
0.60,0.00,0.585
0.60,0.05,0.783
0.60,0.10,0.791
0.60,0.15,0.786
0.60,0.20,0.786
0.60,0.25,0.786
0.60,0.30,0.786
0.60,0.35,0.786
0.60,0.40,0.786
0.60,0.45,0.786
0.60,0.50,0.786
0.60,0.55,0.786
0.60,0.60,0.786
0.60,0.65,0.786
0.60,0.70,0.786
0.60,0.75,0.786
0.60,0.80,0.786
0.60,0.85,0.786
0.60,0.90,0.786
0.60,0.95,0.786
0.70,0.00,0.588
0.70,0.05,0.787
0.70,0.10,0.789
0.70,0.15,0.789
0.70,0.20,0.789
0.70,0.25,0.789
0.70,0.30,0.789
0.70,0.35,0.789
0.70,0.40,0.789
0.70,0.45,0.789
0.70,0.50,0.789
0.70,0.55,0.789
0.70,0.60,0.789
0.70,0.65,0.789
0.70,0.70,0.789
0.70,0.75,0.789
0.70,0.80,0.789
0.70,0.85,0.789
0.70,0.90,0.789
0.70,0.95,0.789
0.80,0.00,0.571
0.80,0.05,0.796
0.80,0.10,0.796
0.80,0.15,0.796
0.80,0.20,0.796
0.80,0.25,0.796
0.80,0.30,0.796
0.80,0.35,0.796
0.80,0.40,0.796
0.80,0.45,0.796
0.80,0.50,0.796
0.80,0.55,0.796
0.80,0.60,0.796
0.80,0.65,0.796
0.80,0.70,0.796
0.80,0.75,0.796
0.80,0.80,0.796
0.80,0.85,0.796
0.80,0.90,0.796
0.80,0.95,0.796
0.90,0.00,0.514
0.90,0.05,0.723
0.90,0.10,0.723
0.90,0.15,0.723
0.90,0.20,0.723
0.90,0.25,0.723
0.90,0.30,0.723
0.90,0.35,0.723
0.90,0.40,0.723
0.90,0.45,0.723
0.90,0.50,0.723
0.90,0.55,0.723
0.90,0.60,0.723
0.90,0.65,0.723
0.90,0.70,0.723
0.90,0.75,0.723
0.90,0.80,0.723
0.90,0.85,0.723
0.90,0.90,0.723
0.90,0.95,0.723
